 LOCATOR_GENERAL OUTPUT: 
    User: sscweb
    Date: Thu  4-Dec-2025 (338) 03:56:29
  Status: request completed successfully


GROUP 1    Satellite   Resolution   Factor
            mms4           60         1

           Start Time           Stop Time 
           2018  33  0.00000    2018  33 23.99972


 Coord/            Min/Max      Range Filter          Filter
Component   Output Markers    Minimum     Maximum    Mins/Maxes
GSE X        YES      -         -           -             -   
GSE Y        YES      -         -           -             -   
GSE Z        YES      -         -           -             -   
GSE LT       YES      -         -           -             -   

Output - File: 
         lines per page: 0
 
Formats and units:
    Day/Time format: YYYY DDD HH:MM:SS
    Degrees/Hemisphere format: Decimal degrees with 2 place(s).
        Longitude 0 to 360, latitude -90 to 90.
    Distance format: Earth radii with 2 place(s).
2018  33 01:32:30      18.72     -10.16       5.79 10:06:02
2018  33 01:33:30      18.72     -10.16       5.79 10:06:05
2018  33 01:34:30      18.73     -10.16       5.79 10:06:08
2018  33 01:35:30      18.74     -10.16       5.79 10:06:11
2018  33 01:36:30      18.75     -10.16       5.80 10:06:14
2018  33 01:37:30      18.76     -10.15       5.80 10:06:17
2018  33 01:38:30      18.77     -10.15       5.80 10:06:20
2018  33 01:39:30      18.77     -10.15       5.81 10:06:23
2018  33 01:40:30      18.78     -10.15       5.81 10:06:26
2018  33 01:41:30      18.79     -10.15       5.81 10:06:29
2018  33 01:42:30      18.80     -10.15       5.81 10:06:32
2018  33 01:43:30      18.81     -10.15       5.82 10:06:35
2018  33 01:44:30      18.82     -10.15       5.82 10:06:38
2018  33 01:45:30      18.82     -10.15       5.82 10:06:41
2018  33 01:46:30      18.83     -10.15       5.82 10:06:44
2018  33 01:47:30      18.84     -10.15       5.83 10:06:47
2018  33 01:48:30      18.85     -10.14       5.83 10:06:50
2018  33 01:49:30      18.86     -10.14       5.83 10:06:53
2018  33 01:50:30      18.87     -10.14       5.84 10:06:56
2018  33 01:51:30      18.87     -10.14       5.84 10:07:00
2018  33 01:52:30      18.88     -10.14       5.84 10:07:03
2018  33 01:53:30      18.89     -10.14       5.84 10:07:06
2018  33 01:54:30      18.90     -10.14       5.85 10:07:09
2018  33 01:55:30      18.91     -10.14       5.85 10:07:12
2018  33 01:56:30      18.92     -10.14       5.85 10:07:15
2018  33 01:57:30      18.92     -10.14       5.85 10:07:18
2018  33 01:58:30      18.93     -10.14       5.86 10:07:21
2018  33 01:59:30      18.94     -10.13       5.86 10:07:24
2018  33 02:00:30      18.95     -10.13       5.86 10:07:27
2018  33 02:01:30      18.96     -10.13       5.87 10:07:30
2018  33 02:02:30      18.96     -10.13       5.87 10:07:33
2018  33 02:03:30      18.97     -10.13       5.87 10:07:36
2018  33 02:04:30      18.98     -10.13       5.87 10:07:39
2018  33 02:05:30      18.99     -10.13       5.88 10:07:42
2018  33 02:06:30      19.00     -10.13       5.88 10:07:45
2018  33 02:07:30      19.01     -10.13       5.88 10:07:48
2018  33 02:08:30      19.01     -10.13       5.88 10:07:51
2018  33 02:09:30      19.02     -10.13       5.89 10:07:54
2018  33 02:10:30      19.03     -10.12       5.89 10:07:57
2018  33 02:11:30      19.04     -10.12       5.89 10:08:00
2018  33 02:12:30      19.05     -10.12       5.89 10:08:03
2018  33 02:13:30      19.05     -10.12       5.90 10:08:05
2018  33 02:14:30      19.06     -10.12       5.90 10:08:08
2018  33 02:15:30      19.07     -10.12       5.90 10:08:11
2018  33 02:16:30      19.08     -10.12       5.91 10:08:14
2018  33 02:17:30      19.09     -10.12       5.91 10:08:17
2018  33 02:18:30      19.09     -10.12       5.91 10:08:20
2018  33 02:19:30      19.10     -10.12       5.91 10:08:23
2018  33 02:20:30      19.11     -10.11       5.92 10:08:26
2018  33 02:21:30      19.12     -10.11       5.92 10:08:29
2018  33 02:22:30      19.13     -10.11       5.92 10:08:32
2018  33 02:23:30      19.13     -10.11       5.92 10:08:35
2018  33 02:24:30      19.14     -10.11       5.93 10:08:38
2018  33 02:25:30      19.15     -10.11       5.93 10:08:41
2018  33 02:26:30      19.16     -10.11       5.93 10:08:44
